Pass #: 161; Equity: 51,336.78; Profit / Loss: 1,418.20; Balance: 51,336.78; Total Trades: 31; Profit Factor: 2.61; Parameters: multiplier=3, zoneShrink=0.5, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=100, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 160; Equity: 50,737.87; Profit / Loss: 799.00; Balance: 50,737.87; Total Trades: 26; Profit Factor: 2.39; Parameters: multiplier=6, zoneShrink=1.2, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=90, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 352; Equity: 50,737.87; Profit / Loss: 799.00; Balance: 50,737.87; Total Trades: 26; Profit Factor: 2.39; Parameters: multiplier=6, zoneShrink=1.2, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=90, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 23; Equity: 50,730.31; Profit / Loss: 803.60; Balance: 50,730.31; Total Trades: 30; Profit Factor: 2.66; Parameters: multiplier=5, zoneShrink=1.0, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=50, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 27; Equity: 50,730.31; Profit / Loss: 803.60; Balance: 50,730.31; Total Trades: 30; Profit Factor: 2.66; Parameters: multiplier=5, zoneShrink=1.1, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=50, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 219; Equity: 50,730.31; Profit / Loss: 803.60; Balance: 50,730.31; Total Trades: 30; Profit Factor: 2.66; Parameters: multiplier=5, zoneShrink=1.1, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=50, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 357; Equity: 50,720.18; Profit / Loss: 795.00; Balance: 50,720.18; Total Trades: 30; Profit Factor: 2.02; Parameters: multiplier=3, zoneShrink=0.6, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=100, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 193; Equity: 50,714.42; Profit / Loss: 791.80; Balance: 50,714.42; Total Trades: 33; Profit Factor: 2.21; Parameters: multiplier=3, zoneShrink=0.5, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=50, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 20; Equity: 50,712.42; Profit / Loss: 789.80; Balance: 50,712.42; Total Trades: 29; Profit Factor: 2.20; Parameters: multiplier=6, zoneShrink=0.9, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=50, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 24; Equity: 50,712.42; Profit / Loss: 789.80; Balance: 50,712.42; Total Trades: 29; Profit Factor: 2.20; Parameters: multiplier=6, zoneShrink=1.0, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=50, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 212; Equity: 50,712.42; Profit / Loss: 789.80; Balance: 50,712.42; Total Trades: 29; Profit Factor: 2.20; Parameters: multiplier=6, zoneShrink=0.9, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=50, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 216; Equity: 50,712.42; Profit / Loss: 789.80; Balance: 50,712.42; Total Trades: 29; Profit Factor: 2.20; Parameters: multiplier=6, zoneShrink=1.0, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=50, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 220; Equity: 50,712.42; Profit / Loss: 789.80; Balance: 50,712.42; Total Trades: 29; Profit Factor: 2.20; Parameters: multiplier=6, zoneShrink=1.1, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=50, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 115; Equity: 50,702.87; Profit / Loss: 764.00; Balance: 50,702.87; Total Trades: 26; Profit Factor: 2.35; Parameters: multiplier=5, zoneShrink=0.9, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 124; Equity: 50,702.87; Profit / Loss: 764.00; Balance: 50,702.87; Total Trades: 26; Profit Factor: 2.35; Parameters: multiplier=6, zoneShrink=1.1, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 128; Equity: 50,702.87; Profit / Loss: 764.00; Balance: 50,702.87; Total Trades: 26; Profit Factor: 2.35; Parameters: multiplier=6, zoneShrink=1.2, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 320; Equity: 50,702.87; Profit / Loss: 764.00; Balance: 50,702.87; Total Trades: 26; Profit Factor: 2.35; Parameters: multiplier=6, zoneShrink=1.2, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 83; Equity: 50,697.99; Profit / Loss: 763.20; Balance: 50,697.99; Total Trades: 27; Profit Factor: 2.37; Parameters: multiplier=5, zoneShrink=0.9, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=70, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 133; Equity: 50,686.18; Profit / Loss: 761.00; Balance: 50,686.18; Total Trades: 31; Profit Factor: 1.98; Parameters: multiplier=3, zoneShrink=0.6, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=90, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 174; Equity: 50,680.78; Profit / Loss: 746.00; Balance: 50,680.78; Total Trades: 28; Profit Factor: 2.10; Parameters: multiplier=4, zoneShrink=0.8, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=100, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 179; Equity: 50,680.78; Profit / Loss: 746.00; Balance: 50,680.78; Total Trades: 27; Profit Factor: 2.10; Parameters: multiplier=5, zoneShrink=0.9, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=100, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 183; Equity: 50,680.78; Profit / Loss: 746.00; Balance: 50,680.78; Total Trades: 27; Profit Factor: 2.10; Parameters: multiplier=5, zoneShrink=1.0, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=100, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 187; Equity: 50,680.78; Profit / Loss: 746.00; Balance: 50,680.78; Total Trades: 27; Profit Factor: 2.10; Parameters: multiplier=5, zoneShrink=1.1, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=100, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 366; Equity: 50,680.78; Profit / Loss: 746.00; Balance: 50,680.78; Total Trades: 27; Profit Factor: 2.10; Parameters: multiplier=4, zoneShrink=0.8, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=100, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 370; Equity: 50,680.78; Profit / Loss: 746.00; Balance: 50,680.78; Total Trades: 28; Profit Factor: 2.10; Parameters: multiplier=4, zoneShrink=0.9, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=100, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 375; Equity: 50,680.78; Profit / Loss: 746.00; Balance: 50,680.78; Total Trades: 27; Profit Factor: 2.10; Parameters: multiplier=5, zoneShrink=1.0, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=100, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 379; Equity: 50,680.78; Profit / Loss: 746.00; Balance: 50,680.78; Total Trades: 27; Profit Factor: 2.10; Parameters: multiplier=5, zoneShrink=1.1, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=100, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 1; Equity: 50,672.41; Profit / Loss: 765.80; Balance: 50,672.41; Total Trades: 37; Profit Factor: 1.87; Parameters: multiplier=3, zoneShrink=0.5, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=50, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 168; Equity: 50,669.00; Profit / Loss: 722.00; Balance: 50,669.00; Total Trades: 22; Profit Factor: 2.57; Parameters: multiplier=6, zoneShrink=0.6, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=100, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 172; Equity: 50,669.00; Profit / Loss: 722.00; Balance: 50,669.00; Total Trades: 22; Profit Factor: 2.57; Parameters: multiplier=6, zoneShrink=0.7, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=100, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 176; Equity: 50,669.00; Profit / Loss: 722.00; Balance: 50,669.00; Total Trades: 22; Profit Factor: 2.57; Parameters: multiplier=6, zoneShrink=0.8, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=100, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 360; Equity: 50,669.00; Profit / Loss: 722.00; Balance: 50,669.00; Total Trades: 22; Profit Factor: 2.57; Parameters: multiplier=6, zoneShrink=0.6, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=100, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 364; Equity: 50,669.00; Profit / Loss: 722.00; Balance: 50,669.00; Total Trades: 22; Profit Factor: 2.57; Parameters: multiplier=6, zoneShrink=0.7, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=100, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 368; Equity: 50,669.00; Profit / Loss: 722.00; Balance: 50,669.00; Total Trades: 22; Profit Factor: 2.57; Parameters: multiplier=6, zoneShrink=0.8, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=100, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 146; Equity: 50,659.78; Profit / Loss: 725.00; Balance: 50,659.78; Total Trades: 27; Profit Factor: 2.08; Parameters: multiplier=4, zoneShrink=0.9, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=90, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 147; Equity: 50,659.78; Profit / Loss: 725.00; Balance: 50,659.78; Total Trades: 27; Profit Factor: 2.08; Parameters: multiplier=5, zoneShrink=0.9, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=90, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 151; Equity: 50,659.78; Profit / Loss: 725.00; Balance: 50,659.78; Total Trades: 27; Profit Factor: 2.08; Parameters: multiplier=5, zoneShrink=1.0, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=90, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 155; Equity: 50,659.78; Profit / Loss: 725.00; Balance: 50,659.78; Total Trades: 27; Profit Factor: 2.08; Parameters: multiplier=5, zoneShrink=1.1, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=90, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 343; Equity: 50,659.78; Profit / Loss: 725.00; Balance: 50,659.78; Total Trades: 27; Profit Factor: 2.08; Parameters: multiplier=5, zoneShrink=1.0, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=90, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 347; Equity: 50,659.78; Profit / Loss: 725.00; Balance: 50,659.78; Total Trades: 27; Profit Factor: 2.08; Parameters: multiplier=5, zoneShrink=1.1, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=90, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 101; Equity: 50,654.18; Profit / Loss: 729.00; Balance: 50,654.18; Total Trades: 31; Profit Factor: 1.94; Parameters: multiplier=3, zoneShrink=0.6, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 110; Equity: 50,653.17; Profit / Loss: 728.00; Balance: 50,653.17; Total Trades: 30; Profit Factor: 1.94; Parameters: multiplier=4, zoneShrink=0.8, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 114; Equity: 50,653.17; Profit / Loss: 728.00; Balance: 50,653.17; Total Trades: 30; Profit Factor: 1.94; Parameters: multiplier=4, zoneShrink=0.9, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 302; Equity: 50,653.17; Profit / Loss: 728.00; Balance: 50,653.17; Total Trades: 30; Profit Factor: 1.94; Parameters: multiplier=4, zoneShrink=0.8, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 136; Equity: 50,638.00; Profit / Loss: 691.00; Balance: 50,638.00; Total Trades: 22; Profit Factor: 2.50; Parameters: multiplier=6, zoneShrink=0.6, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=90, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 140; Equity: 50,638.00; Profit / Loss: 691.00; Balance: 50,638.00; Total Trades: 22; Profit Factor: 2.50; Parameters: multiplier=6, zoneShrink=0.7, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=90, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 144; Equity: 50,638.00; Profit / Loss: 691.00; Balance: 50,638.00; Total Trades: 22; Profit Factor: 2.50; Parameters: multiplier=6, zoneShrink=0.8, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=90, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 328; Equity: 50,638.00; Profit / Loss: 691.00; Balance: 50,638.00; Total Trades: 22; Profit Factor: 2.50; Parameters: multiplier=6, zoneShrink=0.6, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=90, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 332; Equity: 50,638.00; Profit / Loss: 691.00; Balance: 50,638.00; Total Trades: 22; Profit Factor: 2.50; Parameters: multiplier=6, zoneShrink=0.7, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=90, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 336; Equity: 50,638.00; Profit / Loss: 691.00; Balance: 50,638.00; Total Trades: 22; Profit Factor: 2.50; Parameters: multiplier=6, zoneShrink=0.8, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=90, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 14; Equity: 50,630.70; Profit / Loss: 709.60; Balance: 50,630.70; Total Trades: 31; Profit Factor: 2.17; Parameters: multiplier=4, zoneShrink=0.8, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=50, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 18; Equity: 50,630.70; Profit / Loss: 709.60; Balance: 50,630.70; Total Trades: 31; Profit Factor: 2.17; Parameters: multiplier=4, zoneShrink=0.9, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=50, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 206; Equity: 50,630.70; Profit / Loss: 709.60; Balance: 50,630.70; Total Trades: 31; Profit Factor: 2.17; Parameters: multiplier=4, zoneShrink=0.8, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=50, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 210; Equity: 50,630.70; Profit / Loss: 709.60; Balance: 50,630.70; Total Trades: 31; Profit Factor: 2.17; Parameters: multiplier=4, zoneShrink=0.9, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=50, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 53; Equity: 50,630.39; Profit / Loss: 705.00; Balance: 50,630.39; Total Trades: 32; Profit Factor: 1.87; Parameters: multiplier=3, zoneShrink=1.0, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=60, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 57; Equity: 50,630.39; Profit / Loss: 705.00; Balance: 50,630.39; Total Trades: 32; Profit Factor: 1.87; Parameters: multiplier=3, zoneShrink=1.1, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=60, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 61; Equity: 50,630.39; Profit / Loss: 705.00; Balance: 50,630.39; Total Trades: 31; Profit Factor: 1.87; Parameters: multiplier=3, zoneShrink=1.2, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=60, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 92; Equity: 50,629.90; Profit / Loss: 699.20; Balance: 50,629.90; Total Trades: 28; Profit Factor: 2.09; Parameters: multiplier=6, zoneShrink=1.1, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=70, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 96; Equity: 50,629.90; Profit / Loss: 699.20; Balance: 50,629.90; Total Trades: 28; Profit Factor: 2.09; Parameters: multiplier=6, zoneShrink=1.2, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=70, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 288; Equity: 50,629.90; Profit / Loss: 699.20; Balance: 50,629.90; Total Trades: 28; Profit Factor: 2.09; Parameters: multiplier=6, zoneShrink=1.2, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=70, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 104; Equity: 50,616.00; Profit / Loss: 669.00; Balance: 50,616.00; Total Trades: 22; Profit Factor: 2.48; Parameters: multiplier=6, zoneShrink=0.6, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 108; Equity: 50,616.00; Profit / Loss: 669.00; Balance: 50,616.00; Total Trades: 22; Profit Factor: 2.48; Parameters: multiplier=6, zoneShrink=0.7, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 112; Equity: 50,616.00; Profit / Loss: 669.00; Balance: 50,616.00; Total Trades: 22; Profit Factor: 2.48; Parameters: multiplier=6, zoneShrink=0.8, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 296; Equity: 50,616.00; Profit / Loss: 669.00; Balance: 50,616.00; Total Trades: 22; Profit Factor: 2.48; Parameters: multiplier=6, zoneShrink=0.6, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 300; Equity: 50,616.00; Profit / Loss: 669.00; Balance: 50,616.00; Total Trades: 22; Profit Factor: 2.48; Parameters: multiplier=6, zoneShrink=0.7, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
Pass #: 304; Equity: 50,616.00; Profit / Loss: 669.00; Balance: 50,616.00; Total Trades: 22; Profit Factor: 2.48; Parameters: multiplier=6, zoneShrink=0.8, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=1.0
